id;content_text;date_pub;time
1;Refined Squares;2020-11-23;2020-11-23T14:02:49
2;Human Ghana;2020-11-22;2020-11-23T15:35:40
3;granular Direct contextually-based;2020-11-23;2020-11-23T08:16:27
4;copying;2020-11-22;2020-11-23T11:12:36
5;Hat;2020-11-23;2020-11-23T08:30:25
6;magenta Concrete;2020-11-23;2020-11-23T12:39:56
7;Gloves sky blue Oklahoma;2020-11-23;2020-11-23T09:47:51
8;Engineer;2020-11-22;2020-11-23T12:35:59
9;Moroccan Dirham;2020-11-23;2020-11-23T11:18:13
10;zero tolerance;2020-11-23;2020-11-23T12:07:19
